127.0.0.1 - - [22/Jan/2024:15:52:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:43 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:43 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:43 +0530] "GET /Argocap/style.css HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:43 +0530] "GET /Argocap/script.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:45 +0530] "GET /img/ARGO.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:44 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:44 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:44 +0530] "GET /Argocap/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:44 +0530] "GET /Argocap/script.js HTTP/1.1" 200 4423
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:52 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:52 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:52 +0530] "GET /Argocap/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:53 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:53 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:00 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:00 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:00 +0530] "GET /Argocap/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:06 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:06 +0530] "GET /Argocap/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:06 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:06 +0530] "GET /Argocap/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:46 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:46 +0530] "GET /Argocap/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:46 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:46 +0530] "GET /Argocap/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:49 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:50 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:50 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
